id,x,y,z,grainId,colorRGB,energy
354,11,24,0,12,204 0 255,0
355,11,25,0,12,204 0 255,0
356,11,26,0,12,204 0 255,0
357,11,27,0,12,204 0 255,0
358,11,28,0,12,204 0 255,3
359,11,29,0,7,0 255 203,3
360,12,0,0,7,0 255 203,0
361,12,1,0,7,0 255 203,0
362,12,2,0,7,0 255 203,1
363,12,3,0,7,0 255 203,4
364,12,4,0,4,101 255 0,4
365,12,5,0,4,101 255 0,3
366,12,6,0,4,101 255 0,5
367,12,7,0,2,255 204 0,3
368,12,8,0,2,255 204 0,0
369,12,9,0,2,255 204 0,0
370,12,10,0,2,255 204 0,0
371,12,11,0,2,255 204 0,0
372,12,12,0,2,255 204 0,0
373,12,13,0,2,255 204 0,0
374,12,14,0,2,255 204 0,0
375,12,15,0,2,255 204 0,0
376,12,16,0,2,255 204 0,1
377,12,17,0,2,255 204 0,4
378,12,18,0,12,204 0 255,3
379,12,19,0,12,204 0 255,1
380,12,20,0,12,204 0 255,0
381,12,21,0,12,204 0 255,0
382,12,22,0,12,204 0 255,0
383,12,23,0,12,204 0 255,0
384,12,24,0,12,204 0 255,0
385,12,25,0,12,204 0 255,0
386,12,26,0,12,204 0 255,0
387,12,27,0,12,204 0 255,0
388,12,28,0,12,204 0 255,3
389,12,29,0,7,0 255 203,3
390,13,0,0,7,0 255 203,0
391,13,1,0,7,0 255 203,0
392,13,2,0,7,0 255 203,1
393,13,3,0,7,0 255 203,4
394,13,4,0,6,0 255 102,4
395,13,5,0,6,0 255 102,3
396,13,6,0,6,0 255 102,4
397,13,7,0,2,255 204 0,4
398,13,8,0,2,255 204 0,1
399,13,9,0,2,255 204 0,0
400,13,10,0,2,255 204 0,0
401,13,11,0,2,255 204 0,0
402,13,12,0,2,255 204 0,0
403,13,13,0,2,255 204 0,0
404,13,14,0,2,255 204 0,0
405,13,15,0,2,255 204 0,0
406,13,16,0,2,255 204 0,1
407,13,17,0,2,255 204 0,4
408,13,18,0,5,0 255 0,5
409,13,19,0,12,204 0 255,3
410,13,20,0,12,204 0 255,1
411,13,21,0,12,204 0 255,0
412,13,22,0,12,204 0 255,0
413,13,23,0,12,204 0 255,0
414,13,24,0,12,204 0 255,0
415,13,25,0,12,204 0 255,0
416,13,26,0,12,204 0 255,0
417,13,27,0,12,204 0 255,0
418,13,28,0,12,204 0 255,3
419,13,29,0,7,0 255 203,3
420,14,0,0,7,0 255 203,1
421,14,1,0,7,0 255 203,2
422,14,2,0,7,0 255 203,4
423,14,3,0,6,0 255 102,3
424,14,4,0,6,0 255 102,1
425,14,5,0,6,0 255 102,0
426,14,6,0,6,0 255 102,1
427,14,7,0,6,0 255 102,3
428,14,8,0,2,255 204 0,3
429,14,9,0,2,255 204 0,1
430,14,10,0,2,255 204 0,0
431,14,11,0,2,255 204 0,0
432,14,12,0,2,255 204 0,0
433,14,13,0,2,255 204 0,0
434,14,14,0,2,255 204 0,0
435,14,15,0,2,255 204 0,0
436,14,16,0,2,255 204 0,2
437,14,17,0,5,0 255 0,4
438,14,18,0,5,0 255 0,2
439,14,19,0,5,0 255 0,3
440,14,20,0,12,204 0 255,4
441,14,21,0,12,204 0 255,2
442,14,22,0,12,204 0 255,1
443,14,23,0,12,204 0 255,0
444,14,24,0,12,204 0 255,0
445,14,25,0,12,204 0 255,0
446,14,26,0,12,204 0 255,0
447,14,27,0,12,204 0 255,0
448,14,28,0,12,204 0 255,2
449,14,29,0,7,0 255 203,4
450,15,0,0,7,0 255 203,4
451,15,1,0,6,0 255 102,4
452,15,2,0,6,0 255 102,2
453,15,3,0,6,0 255 102,1
454,15,4,0,6,0 255 102,0
455,15,5,0,6,0 255 102,0
456,15,6,0,6,0 255 102,0
457,15,7,0,6,0 255 102,1
458,15,8,0,6,0 255 102,4
459,15,9,0,2,255 204 0,2
460,15,10,0,2,255 204 0,0
461,15,11,0,2,255 204 0,0
462,15,12,0,2,255 204 0,0
463,15,13,0,2,255 204 0,0
464,15,14,0,2,255 204 0,0
465,15,15,0,2,255 204 0,0
466,15,16,0,2,255 204 0,3
467,15,17,0,5,0 255 0,3
468,15,18,0,5,0 255 0,0
469,15,19,0,5,0 255 0,1
470,15,20,0,5,0 255 0,2
471,15,21,0,5,0 255 0,4
472,15,22,0,12,204 0 255,3
473,15,23,0,12,204 0 255,1
474,15,24,0,12,204 0 255,0
475,15,25,0,12,204 0 255,0
476,15,26,0,12,204 0 255,0
477,15,27,0,12,204 0 255,0
478,15,28,0,12,204 0 255,2
479,15,29,0,12,204 0 255,5
480,16,0,0,6,0 255 102,2
481,16,1,0,6,0 255 102,1
482,16,2,0,6,0 255 102,0
483,16,3,0,6,0 255 102,0
484,16,4,0,6,0 255 102,0
485,16,5,0,6,0 255 102,0
486,16,6,0,6,0 255 102,0
487,16,7,0,6,0 255 102,0
488,16,8,0,6,0 255 102,3
489,16,9,0,2,255 204 0,3
490,16,10,0,2,255 204 0,0
491,16,11,0,2,255 204 0,0
492,16,12,0,2,255 204 0,0
493,16,13,0,2,255 204 0,0
494,16,14,0,2,255 204 0,0
495,16,15,0,2,255 204 0,1
496,16,16,0,2,255 204 0,4
497,16,17,0,5,0 255 0,2
498,16,18,0,5,0 255 0,0
499,16,19,0,5,0 255 0,0
500,16,20,0,5,0 255 0,0
501,16,21,0,5,0 255 0,1
502,16,22,0,5,0 255 0,3
503,16,23,0,12,204 0 255,3
504,16,24,0,12,204 0 255,1
505,16,25,0,12,204 0 255,0
506,16,26,0,12,204 0 255,0
507,16,27,0,12,204 0 255,1
508,16,28,0,12,204 0 255,3
509,16,29,0,6,0 255 102,5
510,17,0,0,6,0 255 102,0
511,17,1,0,6,0 255 102,0
512,17,2,0,6,0 255 102,0
513,17,3,0,6,0 255 102,0
514,17,4,0,6,0 255 102,0
515,17,5,0,6,0 255 102,0
516,17,6,0,6,0 255 102,0
517,17,7,0,6,0 255 102,0
518,17,8,0,6,0 255 102,2
519,17,9,0,2,255 204 0,4
520,17,10,0,2,255 204 0,1
521,17,11,0,2,255 204 0,0
522,17,12,0,2,255 204 0,0
523,17,13,0,2,255 204 0,0
524,17,14,0,2,255 204 0,0
525,17,15,0,2,255 204 0,2
526,17,16,0,5,0 255 0,4
527,17,17,0,5,0 255 0,1
528,17,18,0,5,0 255 0,0
529,17,19,0,5,0 255 0,0
530,17,20,0,5,0 255 0,0
531,17,21,0,5,0 255 0,0
532,17,22,0,5,0 255 0,1
533,17,23,0,5,0 255 0,3
534,17,24,0,12,204 0 255,3
535,17,25,0,12,204 0 255,1
536,17,26,0,12,204 0 255,1
537,17,27,0,12,204 0 255,3
538,17,28,0,10,0 0 255,6
539,17,29,0,6,0 255 102,3
540,18,0,0,6,0 255 102,2
541,18,1,0,6,0 255 102,1
542,18,2,0,6,0 255 102,0
543,18,3,0,6,0 255 102,0
544,18,4,0,6,0 255 102,0
545,18,5,0,6,0 255 102,0
546,18,6,0,6,0 255 102,0
547,18,7,0,6,0 255 102,0
548,18,8,0,6,0 255 102,1
549,18,9,0,6,0 255 102,3
550,18,10,0,2,255 204 0,3
551,18,11,0,2,255 204 0,1
552,18,12,0,2,255 204 0,0
553,18,13,0,2,255 204 0,0
554,18,14,0,2,255 204 0,1
555,18,15,0,2,255 204 0,4
556,18,16,0,5,0 255 0,2
557,18,17,0,5,0 255 0,0
558,18,18,0,5,0 255 0,0
559,18,19,0,5,0 255 0,0
560,18,20,0,5,0 255 0,0
561,18,21,0,5,0 255 0,0
562,18,22,0,5,0 255 0,0
563,18,23,0,5,0 255 0,2
564,18,24,0,5,0 255 0,5
565,18,25,0,12,204 0 255,4
566,18,26,0,12,204 0 255,4
567,18,27,0,10,0 0 255,3
568,18,28,0,10,0 0 255,3
569,18,29,0,6,0 255 102,5
570,19,0,0,11,102 0 255,4
571,19,1,0,6,0 255 102,3
572,19,2,0,6,0 255 102,1
573,19,3,0,6,0 255 102,0
574,19,4,0,6,0 255 102,0
575,19,5,0,6,0 255 102,0
576,19,6,0,6,0 255 102,0
577,19,7,0,6,0 255 102,0
578,19,8,0,6,0 255 102,0
579,19,9,0,6,0 255 102,2
580,19,10,0,6,0 255 102,5
581,19,11,0,2,255 204 0,3
582,19,12,0,2,255 204 0,1
583,19,13,0,2,255 204 0,1
584,19,14,0,2,255 204 0,3
585,19,15,0,5,0 255 0,4
586,19,16,0,5,0 255 0,1
587,19,17,0,5,0 255 0,0
588,19,18,0,5,0 255 0,0
589,19,19,0,5,0 255 0,0
590,19,20,0,5,0 255 0,0
591,19,21,0,5,0 255 0,0
592,19,22,0,5,0 255 0,1
593,19,23,0,5,0 255 0,3
594,19,24,0,10,0 0 255,4
595,19,25,0,10,0 0 255,3
596,19,26,0,10,0 0 255,2
597,19,27,0,10,0 0 255,1
598,19,28,0,10,0 0 255,1
599,19,29,0,10,0 0 255,4
600,20,0,0,11,102 0 255,1
601,20,1,0,11,102 0 255,3
602,20,2,0,6,0 255 102,3
603,20,3,0,6,0 255 102,1
604,20,4,0,6,0 255 102,0
605,20,5,0,6,0 255 102,0
606,20,6,0,6,0 255 102,0
607,20,7,0,6,0 255 102,0
608,20,8,0,6,0 255 102,1
609,20,9,0,6,0 255 102,3
610,20,10,0,15,255 0 0,4
611,20,11,0,15,255 0 0,4
612,20,12,0,2,255 204 0,4
613,20,13,0,2,255 204 0,4
614,20,14,0,3,203 255 0,5
615,20,15,0,5,0 255 0,5
616,20,16,0,5,0 255 0,2
617,20,17,0,5,0 255 0,1
618,20,18,0,5,0 255 0,1
619,20,19,0,5,0 255 0,2
620,20,20,0,5,0 255 0,3
621,20,21,0,5,0 255 0,3
622,20,22,0,5,0 255 0,4
623,20,23,0,10,0 0 255,3
624,20,24,0,10,0 0 255,1
625,20,25,0,10,0 0 255,0
626,20,26,0,10,0 0 255,0
627,20,27,0,10,0 0 255,0
628,20,28,0,10,0 0 255,0
629,20,29,0,10,0 0 255,3
630,21,0,0,11,102 0 255,0
631,21,1,0,11,102 0 255,1
632,21,2,0,11,102 0 255,3
633,21,3,0,6,0 255 102,3
634,21,4,0,6,0 255 102,1
635,21,5,0,6,0 255 102,1
636,21,6,0,6,0 255 102,2
637,21,7,0,6,0 255 102,3
638,21,8,0,6,0 255 102,4
639,21,9,0,15,255 0 0,3
640,21,10,0,15,255 0 0,1
641,21,11,0,15,255 0 0,2
642,21,12,0,15,255 0 0,5
643,21,13,0,3,203 255 0,3
644,21,14,0,3,203 255 0,2
645,21,15,0,3,203 255 0,2
646,21,16,0,3,203 255 0,5
647,21,17,0,5,0 255 0,3
648,21,18,0,5,0 255 0,3
649,21,19,0,10,0 0 255,4
650,21,20,0,10,0 0 255,3
651,21,21,0,10,0 0 255,3
652,21,22,0,10,0 0 255,2
653,21,23,0,10,0 0 255,1
654,21,24,0,10,0 0 255,0
655,21,25,0,10,0 0 255,0
656,21,26,0,10,0 0 255,0
657,21,27,0,10,0 0 255,0
658,21,28,0,10,0 0 255,0
659,21,29,0,10,0 0 255,3
660,22,0,0,11,102 0 255,0
661,22,1,0,11,102 0 255,0
662,22,2,0,11,102 0 255,1
663,22,3,0,11,102 0 255,3
664,22,4,0,6,0 255 102,4
665,22,5,0,6,0 255 102,4
666,22,6,0,15,255 0 0,4
667,22,7,0,15,255 0 0,3
668,22,8,0,15,255 0 0,2
669,22,9,0,15,255 0 0,1
670,22,10,0,15,255 0 0,0
671,22,11,0,15,255 0 0,2
672,22,12,0,3,203 255 0,4
673,22,13,0,3,203 255 0,1
674,22,14,0,3,203 255 0,0
675,22,15,0,3,203 255 0,0
676,22,16,0,3,203 255 0,2
677,22,17,0,5,0 255 0,6
678,22,18,0,10,0 0 255,5
679,22,19,0,10,0 0 255,2
680,22,20,0,10,0 0 255,0
681,22,21,0,10,0 0 255,0
682,22,22,0,10,0 0 255,0
683,22,23,0,10,0 0 255,0
684,22,24,0,10,0 0 255,0
685,22,25,0,10,0 0 255,0
686,22,26,0,10,0 0 255,0
687,22,27,0,10,0 0 255,0
688,22,28,0,10,0 0 255,0
689,22,29,0,10,0 0 255,3
690,23,0,0,11,102 0 255,0
691,23,1,0,11,102 0 255,0
692,23,2,0,11,102 0 255,0
693,23,3,0,11,102 0 255,1
694,23,4,0,11,102 0 255,4
695,23,5,0,15,255 0 0,4
696,23,6,0,15,255 0 0,1
697,23,7,0,15,255 0 0,0
698,23,8,0,15,255 0 0,0
699,23,9,0,15,255 0 0,0
700,23,10,0,15,255 0 0,0
701,23,11,0,15,255 0 0,3
702,23,12,0,3,203 255 0,3
703,23,13,0,3,203 255 0,0
704,23,14,0,3,203 255 0,0
705,23,15,0,3,203 255 0,0
706,23,16,0,3,203 255 0,2
707,23,17,0,3,203 255 0,5
708,23,18,0,13,255 0 203,5
709,23,19,0,10,0 0 255,3
710,23,20,0,10,0 0 255,1
711,23,21,0,10,0 0 255,0
712,23,22,0,10,0 0 255,0
713,23,23,0,10,0 0 255,0
714,23,24,0,10,0 0 255,0
715,23,25,0,10,0 0 255,0
716,23,26,0,10,0 0 255,0
717,23,27,0,10,0 0 255,0
718,23,28,0,10,0 0 255,0
719,23,29,0,10,0 0 255,3
720,24,0,0,11,102 0 255,0
721,24,1,0,11,102 0 255,0
722,24,2,0,11,102 0 255,0
723,24,3,0,11,102 0 255,0
724,24,4,0,11,102 0 255,3
725,24,5,0,15,255 0 0,3
726,24,6,0,15,255 0 0,0
727,24,7,0,15,255 0 0,0
728,24,8,0,15,255 0 0,0
729,24,9,0,15,255 0 0,0
730,24,10,0,15,255 0 0,1
731,24,11,0,15,255 0 0,4
732,24,12,0,3,203 255 0,2
733,24,13,0,3,203 255 0,0
734,24,14,0,3,203 255 0,0
735,24,15,0,3,203 255 0,0
736,24,16,0,3,203 255 0,2
737,24,17,0,13,255 0 203,4
738,24,18,0,13,255 0 203,2
739,24,19,0,13,255 0 203,3
740,24,20,0,10,0 0 255,3
741,24,21,0,10,0 0 255,1
742,24,22,0,10,0 0 255,0
743,24,23,0,10,0 0 255,0
744,24,24,0,10,0 0 255,0
745,24,25,0,10,0 0 255,0
746,24,26,0,10,0 0 255,0
747,24,27,0,10,0 0 255,0
748,24,28,0,10,0 0 255,0
749,24,29,0,10,0 0 255,3
750,25,0,0,11,102 0 255,0
751,25,1,0,11,102 0 255,0
752,25,2,0,11,102 0 255,0
753,25,3,0,11,102 0 255,0
754,25,4,0,11,102 0 255,3
755,25,5,0,15,255 0 0,3
756,25,6,0,15,255 0 0,0
757,25,7,0,15,255 0 0,0
758,25,8,0,15,255 0 0,0
759,25,9,0,15,255 0 0,1
760,25,10,0,15,255 0 0,3
761,25,11,0,3,203 255 0,5
762,25,12,0,3,203 255 0,2
763,25,13,0,3,203 255 0,0
764,25,14,0,3,203 255 0,0
765,25,15,0,3,203 255 0,0
766,25,16,0,3,203 255 0,3
767,25,17,0,13,255 0 203,3
768,25,18,0,13,255 0 203,0
769,25,19,0,13,255 0 203,1
770,25,20,0,13,255 0 203,3
771,25,21,0,10,0 0 255,3
772,25,22,0,10,0 0 255,1
773,25,23,0,10,0 0 255,0
