id,x,y,z,grainId,colorRGB,energy
215,0,7,5,9,0 255 178,1
216,0,7,6,9,0 255 178,2
217,0,7,7,6,50 255 0,1
218,0,7,8,6,50 255 0,0
219,0,7,9,6,50 255 0,0
220,0,7,10,6,50 255 0,0
221,0,7,11,6,50 255 0,0
222,0,7,12,6,50 255 0,0
223,0,7,13,6,50 255 0,0
224,0,7,14,6,50 255 0,0
225,0,7,15,6,50 255 0,0
226,0,7,16,6,50 255 0,0
227,0,7,17,6,50 255 0,0
228,0,7,18,6,50 255 0,0
229,0,7,19,6,50 255 0,0
230,0,7,20,6,50 255 0,0
231,0,7,21,6,50 255 0,0
232,0,7,22,6,50 255 0,0
233,0,7,23,6,50 255 0,1
234,0,7,24,13,0 25 255,1
235,0,7,25,13,0 25 255,0
236,0,7,26,13,0 25 255,0
237,0,7,27,13,0 25 255,0
238,0,7,28,13,0 25 255,0
239,0,7,29,13,0 25 255,1
240,0,8,0,9,0 255 178,0
241,0,8,1,9,0 255 178,0
242,0,8,2,9,0 255 178,0
243,0,8,3,9,0 255 178,0
244,0,8,4,9,0 255 178,1
245,0,8,5,19,255 0 76,2
246,0,8,6,19,255 0 76,2
247,0,8,7,6,50 255 0,1
248,0,8,8,6,50 255 0,0
249,0,8,9,6,50 255 0,0
250,0,8,10,6,50 255 0,0
251,0,8,11,6,50 255 0,0
252,0,8,12,6,50 255 0,0
253,0,8,13,6,50 255 0,0
254,0,8,14,6,50 255 0,0
255,0,8,15,6,50 255 0,0
256,0,8,16,6,50 255 0,0
257,0,8,17,6,50 255 0,0
258,0,8,18,6,50 255 0,1
259,0,8,19,6,50 255 0,1
260,0,8,20,6,50 255 0,1
261,0,8,21,6,50 255 0,1
262,0,8,22,6,50 255 0,1
263,0,8,23,6,50 255 0,2
264,0,8,24,13,0 25 255,2
265,0,8,25,13,0 25 255,1
266,0,8,26,13,0 25 255,1
267,0,8,27,13,0 25 255,0
268,0,8,28,13,0 25 255,0
269,0,8,29,13,0 25 255,1
270,0,9,0,9,0 255 178,1
271,0,9,1,9,0 255 178,1
272,0,9,2,9,0 255 178,1
273,0,9,3,9,0 255 178,0
274,0,9,4,9,0 255 178,1
275,0,9,5,19,255 0 76,1
276,0,9,6,19,255 0 76,1
277,0,9,7,6,50 255 0,1
278,0,9,8,6,50 255 0,0
279,0,9,9,6,50 255 0,0
280,0,9,10,6,50 255 0,0
281,0,9,11,6,50 255 0,0
282,0,9,12,6,50 255 0,0
283,0,9,13,6,50 255 0,0
284,0,9,14,6,50 255 0,0
285,0,9,15,6,50 255 0,0
286,0,9,16,6,50 255 0,0
287,0,9,17,6,50 255 0,2
288,0,9,18,16,204 0 255,2
289,0,9,19,16,204 0 255,1
290,0,9,20,16,204 0 255,1
291,0,9,21,16,204 0 255,1
292,0,9,22,16,204 0 255,1
293,0,9,23,16,204 0 255,2
294,0,9,24,12,0 101 255,2
295,0,9,25,12,0 101 255,1
296,0,9,26,12,0 101 255,2
297,0,9,27,13,0 25 255,2
298,0,9,28,13,0 25 255,1
299,0,9,29,13,0 25 255,2
300,0,10,0,10,0 255 255,1
301,0,10,1,10,0 255 255,1
302,0,10,2,10,0 255 255,2
303,0,10,3,9,0 255 178,2
304,0,10,4,9,0 255 178,2
305,0,10,5,19,255 0 76,1
306,0,10,6,19,255 0 76,1
307,0,10,7,6,50 255 0,1
308,0,10,8,6,50 255 0,0
309,0,10,9,6,50 255 0,0
310,0,10,10,6,50 255 0,0
311,0,10,11,6,50 255 0,0
312,0,10,12,6,50 255 0,0
313,0,10,13,6,50 255 0,0
314,0,10,14,6,50 255 0,0
315,0,10,15,6,50 255 0,0
316,0,10,16,6,50 255 0,2
317,0,10,17,16,204 0 255,2
318,0,10,18,16,204 0 255,0
319,0,10,19,16,204 0 255,0
320,0,10,20,16,204 0 255,0
321,0,10,21,16,204 0 255,0
322,0,10,22,16,204 0 255,0
323,0,10,23,16,204 0 255,1
324,0,10,24,12,0 101 255,1
