id,x,y,z,grainId,colorRGB,energy
258,0,5,8,7,153 255 0,0
259,0,5,9,7,153 255 0,0
260,0,5,10,7,153 255 0,0
261,0,5,11,7,153 255 0,0
262,0,5,12,7,153 255 0,0
263,0,5,13,7,153 255 0,1
264,0,5,14,7,153 255 0,10
265,0,5,15,22,102 0 255,8
266,0,5,16,22,102 0 255,0
267,0,5,17,22,102 0 255,0
268,0,5,18,22,102 0 255,0
269,0,5,19,22,102 0 255,0
270,0,5,20,22,102 0 255,0
271,0,5,21,22,102 0 255,0
272,0,5,22,22,102 0 255,0
273,0,5,23,22,102 0 255,0
274,0,5,24,22,102 0 255,0
275,0,5,25,22,102 0 255,3
276,0,5,26,22,102 0 255,9
277,0,5,27,27,255 0 152,9
278,0,5,28,27,255 0 152,3
279,0,5,29,27,255 0 152,0
280,0,5,30,27,255 0 152,0
281,0,5,31,27,255 0 152,0
282,0,5,32,27,255 0 152,0
283,0,5,33,27,255 0 152,0
284,0,5,34,27,255 0 152,0
285,0,5,35,27,255 0 152,0
286,0,5,36,27,255 0 152,3
287,0,5,37,27,255 0 152,9
288,0,5,38,17,0 152 255,9
289,0,5,39,17,0 152 255,3
290,0,5,40,17,0 152 255,0
291,0,5,41,17,0 152 255,0
292,0,5,42,17,0 152 255,0
293,0,5,43,17,0 152 255,3
294,0,5,44,17,0 152 255,12
295,0,5,45,25,255 0 255,6
296,0,5,46,25,255 0 255,0
297,0,5,47,25,255 0 255,0
298,0,5,48,25,255 0 255,9
299,0,5,49,13,0 255 153,9
300,0,6,0,13,0 255 153,0
301,0,6,1,13,0 255 153,3
302,0,6,2,13,0 255 153,12
303,0,6,3,7,153 255 0,6
304,0,6,4,7,153 255 0,0
305,0,6,5,7,153 255 0,0
306,0,6,6,7,153 255 0,0
307,0,6,7,7,153 255 0,0
308,0,6,8,7,153 255 0,0
309,0,6,9,7,153 255 0,0
310,0,6,10,7,153 255 0,0
311,0,6,11,7,153 255 0,0
312,0,6,12,7,153 255 0,0
313,0,6,13,7,153 255 0,2
314,0,6,14,7,153 255 0,11
315,0,6,15,22,102 0 255,7
316,0,6,16,22,102 0 255,0
317,0,6,17,22,102 0 255,0
318,0,6,18,22,102 0 255,0
319,0,6,19,22,102 0 255,0
320,0,6,20,22,102 0 255,0
321,0,6,21,22,102 0 255,0
322,0,6,22,22,102 0 255,0
323,0,6,23,22,102 0 255,0
324,0,6,24,22,102 0 255,3
325,0,6,25,22,102 0 255,9
326,0,6,26,27,255 0 152,9
327,0,6,27,27,255 0 152,3
328,0,6,28,27,255 0 152,0
329,0,6,29,27,255 0 152,0
330,0,6,30,27,255 0 152,0
331,0,6,31,27,255 0 152,0
332,0,6,32,27,255 0 152,0
333,0,6,33,27,255 0 152,0
334,0,6,34,27,255 0 152,0
335,0,6,35,27,255 0 152,3
336,0,6,36,27,255 0 152,9
337,0,6,37,17,0 152 255,9
338,0,6,38,17,0 152 255,3
339,0,6,39,17,0 152 255,0
340,0,6,40,17,0 152 255,0
341,0,6,41,17,0 152 255,0
342,0,6,42,17,0 152 255,0
343,0,6,43,17,0 152 255,3
344,0,6,44,17,0 152 255,12
345,0,6,45,25,255 0 255,6
346,0,6,46,25,255 0 255,0
347,0,6,47,25,255 0 255,0
348,0,6,48,25,255 0 255,9
349,0,6,49,13,0 255 153,9
350,0,7,0,13,0 255 153,0
351,0,7,1,13,0 255 153,6
352,0,7,2,7,153 255 0,12
353,0,7,3,7,153 255 0,3
354,0,7,4,7,153 255 0,0
355,0,7,5,7,153 255 0,0
356,0,7,6,7,153 255 0,0
357,0,7,7,7,153 255 0,0
358,0,7,8,7,153 255 0,0
359,0,7,9,7,153 255 0,0
360,0,7,10,7,153 255 0,0
361,0,7,11,7,153 255 0,0
362,0,7,12,7,153 255 0,0
363,0,7,13,7,153 255 0,5
364,0,7,14,7,153 255 0,14
365,0,7,15,22,102 0 255,4
366,0,7,16,22,102 0 255,0
367,0,7,17,22,102 0 255,0
368,0,7,18,22,102 0 255,0
369,0,7,19,22,102 0 255,0
370,0,7,20,22,102 0 255,0
371,0,7,21,22,102 0 255,0
372,0,7,22,22,102 0 255,0
373,0,7,23,22,102 0 255,3
374,0,7,24,22,102 0 255,9
375,0,7,25,27,255 0 152,9
376,0,7,26,27,255 0 152,3
377,0,7,27,27,255 0 152,0
378,0,7,28,27,255 0 152,0
379,0,7,29,27,255 0 152,0
380,0,7,30,27,255 0 152,0
381,0,7,31,27,255 0 152,0
382,0,7,32,27,255 0 152,0
383,0,7,33,27,255 0 152,0
384,0,7,34,27,255 0 152,3
385,0,7,35,27,255 0 152,9
386,0,7,36,17,0 152 255,9
387,0,7,37,17,0 152 255,3
388,0,7,38,17,0 152 255,0
389,0,7,39,17,0 152 255,0
390,0,7,40,17,0 152 255,0
391,0,7,41,17,0 152 255,0
392,0,7,42,17,0 152 255,0
393,0,7,43,17,0 152 255,3
394,0,7,44,17,0 152 255,12
395,0,7,45,25,255 0 255,6
396,0,7,46,25,255 0 255,0
397,0,7,47,25,255 0 255,0
398,0,7,48,25,255 0 255,9
399,0,7,49,13,0 255 153,9
400,0,8,0,13,0 255 153,3
401,0,8,1,13,0 255 153,12
402,0,8,2,7,153 255 0,6
403,0,8,3,7,153 255 0,0
404,0,8,4,7,153 255 0,0
405,0,8,5,7,153 255 0,0
406,0,8,6,7,153 255 0,0
407,0,8,7,7,153 255 0,0
408,0,8,8,7,153 255 0,0
409,0,8,9,7,153 255 0,0
410,0,8,10,7,153 255 0,0
411,0,8,11,7,153 255 0,0
412,0,8,12,7,153 255 0,0
413,0,8,13,7,153 255 0,7
414,0,8,14,22,102 0 255,11
415,0,8,15,22,102 0 255,2
416,0,8,16,22,102 0 255,0
417,0,8,17,22,102 0 255,0
418,0,8,18,22,102 0 255,0
419,0,8,19,22,102 0 255,0
420,0,8,20,22,102 0 255,0
421,0,8,21,22,102 0 255,0
422,0,8,22,22,102 0 255,3
423,0,8,23,22,102 0 255,9
424,0,8,24,27,255 0 152,9
425,0,8,25,27,255 0 152,3
426,0,8,26,27,255 0 152,0
427,0,8,27,27,255 0 152,0
428,0,8,28,27,255 0 152,0
429,0,8,29,27,255 0 152,0
430,0,8,30,27,255 0 152,0
431,0,8,31,27,255 0 152,0
432,0,8,32,27,255 0 152,0
433,0,8,33,27,255 0 152,3
434,0,8,34,27,255 0 152,9
435,0,8,35,17,0 152 255,9
436,0,8,36,17,0 152 255,3
437,0,8,37,17,0 152 255,0
438,0,8,38,17,0 152 255,0
439,0,8,39,17,0 152 255,0
440,0,8,40,17,0 152 255,0
441,0,8,41,17,0 152 255,0
442,0,8,42,17,0 152 255,0
443,0,8,43,17,0 152 255,3
444,0,8,44,17,0 152 255,12
445,0,8,45,25,255 0 255,6
446,0,8,46,25,255 0 255,0
447,0,8,47,25,255 0 255,0
448,0,8,48,25,255 0 255,6
449,0,8,49,13,0 255 153,12
450,0,9,0,13,0 255 153,12
451,0,9,1,7,153 255 0,9
452,0,9,2,7,153 255 0,3
453,0,9,3,7,153 255 0,0
454,0,9,4,7,153 255 0,0
455,0,9,5,7,153 255 0,0
456,0,9,6,7,153 255 0,0
457,0,9,7,7,153 255 0,0
458,0,9,8,7,153 255 0,0
459,0,9,9,7,153 255 0,0
460,0,9,10,7,153 255 0,0
461,0,9,11,7,153 255 0,0
462,0,9,12,7,153 255 0,3
463,0,9,13,7,153 255 0,12
464,0,9,14,22,102 0 255,6
465,0,9,15,22,102 0 255,0
466,0,9,16,22,102 0 255,0
467,0,9,17,22,102 0 255,0
468,0,9,18,22,102 0 255,0
469,0,9,19,22,102 0 255,0
470,0,9,20,22,102 0 255,0
471,0,9,21,22,102 0 255,3
472,0,9,22,22,102 0 255,9
473,0,9,23,27,255 0 152,9
474,0,9,24,27,255 0 152,3
475,0,9,25,27,255 0 152,0
476,0,9,26,27,255 0 152,0
477,0,9,27,27,255 0 152,0
478,0,9,28,27,255 0 152,0
479,0,9,29,27,255 0 152,0
480,0,9,30,27,255 0 152,0
481,0,9,31,27,255 0 152,0
482,0,9,32,27,255 0 152,3
483,0,9,33,27,255 0 152,9
484,0,9,34,17,0 152 255,9
485,0,9,35,17,0 152 255,3
486,0,9,36,17,0 152 255,0
487,0,9,37,17,0 152 255,0
488,0,9,38,17,0 152 255,0
489,0,9,39,17,0 152 255,0
490,0,9,40,17,0 152 255,0
491,0,9,41,17,0 152 255,0
492,0,9,42,17,0 152 255,0
493,0,9,43,17,0 152 255,3
494,0,9,44,17,0 152 255,12
495,0,9,45,25,255 0 255,6
496,0,9,46,25,255 0 255,0
497,0,9,47,25,255 0 255,0
498,0,9,48,25,255 0 255,3
499,0,9,49,25,255 0 255,12
500,0,10,0,7,153 255 0,12
501,0,10,1,7,153 255 0,6
502,0,10,2,7,153 255 0,0
503,0,10,3,7,153 255 0,0
504,0,10,4,7,153 255 0,0
505,0,10,5,7,153 255 0,0
506,0,10,6,7,153 255 0,0
507,0,10,7,7,153 255 0,0
508,0,10,8,7,153 255 0,0
509,0,10,9,7,153 255 0,0
510,0,10,10,7,153 255 0,0
511,0,10,11,7,153 255 0,3
512,0,10,12,7,153 255 0,9
513,0,10,13,22,102 0 255,9
514,0,10,14,22,102 0 255,3
515,0,10,15,22,102 0 255,0
516,0,10,16,22,102 0 255,0
517,0,10,17,22,102 0 255,0
